,name,album,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
27,Holy Ground,Red (Deluxe Edition),11,3KmYVOuK2eG7LGP7qQ8DLR,spotify:track:3KmYVOuK2eG7LGP7qQ8DLR,0.0162,0.627,0.816,0.00208,0.0965,-6.698,0.0774,157.043,0.648,45,202960
28,Sad Beautiful Tragic,Red (Deluxe Edition),12,70e9zuv2pJc7ON1OUAJ1zl,spotify:track:70e9zuv2pJc7ON1OUAJ1zl,0.632,0.624,0.34,0.0337,0.0805,-12.411,0.029,129.987,0.261,43,284867
29,The Lucky One,Red (Deluxe Edition),13,5VQLMrWhailAhErKNUSnv1,spotify:track:5VQLMrWhailAhErKNUSnv1,0.0371,0.706,0.499,0.0,0.132,-7.675,0.0369,117.937,0.545,44,240267
30,Everything Has Changed,Red (Deluxe Edition),14,5PjfMmF06QtxTPZBZHdhoZ,spotify:track:5PjfMmF06QtxTPZBZHdhoZ,0.36,0.624,0.458,3.89e-06,0.311,-6.755,0.0287,80.016,0.436,54,245413
31,Starlight,Red (Deluxe Edition),15,1gL4vMhDV3RgJQmDuY5HK1,spotify:track:1gL4vMhDV3RgJQmDuY5HK1,0.0213,0.649,0.777,0.000335,0.21,-5.804,0.0406,126.018,0.587,45,220600
32,Begin Again,Red (Deluxe Edition),16,1yG491M3fRfowMdGN5pey4,spotify:track:1yG491M3fRfowMdGN5pey4,0.199,0.53,0.526,3.52e-06,0.14,-8.349,0.0263,79.025,0.323,48,239427
33,The Moment I Knew,Red (Deluxe Edition),17,4qTAwKJQ68gmnrnfPD3vlO,spotify:track:4qTAwKJQ68gmnrnfPD3vlO,0.187,0.619,0.506,1.47e-05,0.101,-7.327,0.0315,126.03,0.274,42,286613
34,Come Back...Be Here,Red (Deluxe Edition),18,1n8rB9AhxiAvVP1E2c3yOd,spotify:track:1n8rB9AhxiAvVP1E2c3yOd,0.00471,0.483,0.548,2.01e-06,0.0997,-6.291,0.0254,79.926,0.217,46,223920
35,Girl At Home,Red (Deluxe Edition),19,6VFpuI0DDmbC5UyWZQ4IRY,spotify:track:6VFpuI0DDmbC5UyWZQ4IRY,0.272,0.733,0.59,0.0,0.134,-5.86,0.0284,125.048,0.633,41,220840
36,Treacherous - Original Demo Recording,Red (Deluxe Edition),20,7skiELMb9SiQCcBpsExIJf,spotify:track:7skiELMb9SiQCcBpsExIJf,0.175,0.828,0.64,6.14e-05,0.0991,-8.248,0.0355,109.993,0.519,38,240267
