Song,Album,Lyrics
Red (Taylor’s Version),Red (Taylor’s Version),"Loving him is like driving a new Maserati down a dead-end street  Faster than the wind, passionate as sin, ending so suddenly  Loving him is like trying to change your mind once you're already flying through the free fall  Like the colors in autumn, so bright just before they lose it all  Losing him was blue like I'd never known  Missing him was dark gray, all alone (Whoa)  Forgetting him was like trying to know somebody you never met  But loving him was red  (Red, red)  (Red, red)  But loving him was red  (Red, red)  (Red, red)  Touching him was like realizing all you ever wanted was right there in front of you  Memorizing him was as easy as knowing all the words to your old favorite song  Fighting with him was like trying to solve a crossword and realizing there's no right answer  Regretting him was like wishing you never found out that love could be that strong  (Red, red)  Oh, red (Red, red)  Burning red (Red, red)  (Red, red)  Remembering him comes in flashbacks and echoes  Tell myself it's time now, gotta let go  But moving on from him is impossible  When I still see it all in my head  In burning red  Burning, it was red  Oh, losing him was blue like I'd never known  Missing him was dark gray, all alone (Whoa)  Forgetting him was like  Trying to know somebody you never met  'Cause loving him was red  (Red, red) Yeah, yeah, red (Red, red)  Burning red (Red, red)  And that's why he's spinning 'round in my head (Red, red)  Comes back to me, burning red (Red, red)  (Red, red) Yeah, yeah  (Red, red)  His love was like  Driving a new Maserati down a dead-end street"
Ronan (Taylor’s Version),Red (Taylor’s Version),"I remember your bare feet, down the hallway  I remember your little laugh  Race cars on the kitchen floor, plastic dinosaurs  I love you to the moon and back  I remember your blue eyes looking into mine  Like we had our own secret club  I remember you dancing before bedtime  Then jumping on me, waking me up  I can still feel you hold my hand, little man  And even the moment I knew  You fought it hard like an army guy  Remember I leaned in and whispered to you  ""Come on, baby, with me  We're going to fly away from here  You were my best four years""  I remember the drive home  When the blind hope turned to crying and screaming, ""Why?""  Flowers pile up in the worst way, no one knows what to say  About a beautiful boy who died  And it's about to be Halloween  You could be anything you wanted if you were still here  I remember the last day, when I kissed your face  And whispered in your ear  We're going to fly away from here  Out of this curtained room and this hospital gray  We'll just disappear  Come on, baby, with me  We're going to fly away from here  What if I'm standing in your closet trying to talk to you?  And what if I kept the hand-me-downs you won't grow into?  And what if I really thought some miracle would see us through?  What if the miracle was even getting one moment with you?  Come on, baby, with me  We're going to fly away from here  Come on, baby, with me  We're going to fly away from here  You were my best four years  I remember your bare feet, down the hallway  I love you to the moon and back"
Sad Beautiful Tragic (Taylor’s Version),Red (Taylor’s Version),"Long handwritten notes, deep in your pocket  Words, how little they mean when you're a little too late  I stood right by the tracks, your face in a locket  Good girls, hopeful they'll be and long they will wait  We had a beautiful, magic love there  What a sad, beautiful, tragic love affair  In dreams, I meet you in warm conversation  And we both wake in lonely beds and different cities  And time is taking its sweet time erasing you  And you've got your demons and, darling, they all look like me  'Cause wе had a beautiful, magic love therе  What a sad, beautiful, tragic love affair  Whoa, oh, whoa, oh  Distance, timing  Breakdown, fighting  Silence, the train runs off its tracks  Kiss me, try to fix it  Could you just try to listen?  Hang up, give up  And for the life of us, we can't get back  A beautiful, magic love there  What a sad, beautiful, tragic  Beautiful, tragic, beautiful  What we had, a beautiful, magic love there  What a sad, beautiful, tragic love affair  We had a beautiful, magic love there"
Starlight (Taylor’s Version),Red (Taylor’s Version),"I said, ""Oh my, what a marvelous tune""  It was the best night  Never would forget how he moved  The whole place was dressed to the nines  And we were dancing, dancing  Like we're made of starlight  Like we're made of starlight  I met Bobby on the boardwalk, summer of '45  Picks me up late one night  Out the window, we were seventeen and crazy, running wild, wild  Can't remember what song it was playing whеn we walked in  The night wе snuck into a yacht club party  Pretending to be a duchess and a prince  And I said, ""Oh my, what a marvelous tune""  It was the best night, never would forget how he moved  The whole place was dressed to the nines  And we were dancing, dancing  Like we're made of starlight, starlight  Like we're made of starlight, starlight  He said, ""Look at you, worrying too much about things you can't change  You'll spend your whole life singing the blues if you keep thinking that way""  He was trying to skip rocks on the ocean, saying to me  ""Don't you see the starlight, starlight?  Don't you dream impossible things?""  Like, ""Oh my, what a marvelous tune""  It was the best night, never would forget how he moved  Ooh-ooh, he's talking crazy  Ooh-ooh, dancing with me  Ooh-ooh, we could get married  Have ten kids and teach them how to dream  (Ooh, hoo, hoo)  (Ooh, hoo, hoo)  (Ooh, hoo, hoo)  Oh my, what a marvelous tune  It was the best night, never would forget how he moved  Like we're made of starlight, starlight  Like we dream impossible dreams  Like starlight, starlight  Like we dream impossible dreams  Don't you see the starlight, starlight?  Don't you dream impossible things?"
State of Grace (Taylor’s Version),Red (Taylor’s Version),"I'm walkin' fast through the traffic lights  Busy streets and busy lives  And all we know is touch and go  We are alone with our changing minds  We fall in love 'til it hurts or bleeds  Or fades in time  And I never (I never)  Saw you comin'  And I'll never (Never)  Be the same  You come around and the armor falls  Pierce the room like a cannonball  Now all we know is don't let go  We are alone, just you and me  Up in your room and our slates are clean  Just twin fire signs, four blue eyes  So you were never a saint  And I loved in shades of wrong  We learn to live with the pain  Mosaic broken hearts  But this love is brave and wild  And I never (Never) (Oh, oh, oh, oh, oh-oh, oh)  Saw you comin' (Oh, oh, oh, oh, oh-oh, oh)  (Oh, oh, oh, oh, oh-oh, oh) (Oh, oh, oh, oh, oh-oh, oh)  And I'll never (Never) (Oh, oh, oh, oh, oh-oh, oh)  Be the same (Oh, oh, oh, oh, oh-oh, oh)  (Oh, oh, oh, oh, oh-oh, oh)  (Oh, oh, oh, oh, oh-oh, oh)  This is a state of grace  This is the worthwhile fight  Love is a ruthless game  Unless you play it good and right  These are the hands of fate  You're my Achilles heel  This is the golden age  Of something good and right and real  And I never (Never)  Saw you comin'  And I'll never  Be the same, oh  Saw you comin' (Oh, oh, oh, oh, oh-oh, oh)  (Oh, oh, oh, oh, oh-oh, oh)  (Oh, oh, oh, oh, oh-oh, oh)  And I'll never (Never) (Oh, oh, oh, oh, oh-oh, oh)  (So you were never a saint and I loved in shades of wrong)  (We learn to live with the pain)  Be the same (Mosaic broken hearts) (Oh, oh, oh, oh, oh-oh, oh)  (Oh, oh, oh, oh, oh-oh, oh)  (But this love is brave and wild) (Oh, oh, oh, oh, oh-oh, oh)  Unless you play it good and right"
Stay Stay Stay (Taylor’s Version),Red (Taylor’s Version),"I'm pretty sure we almost broke up last night  I threw my phone across the room, at you  I was expecting some dramatic turn away  But you stayed  This morning, I said we should talk about it  'Cause I read you should never leave a fight unresolved  That's when you came in wearing a football helmet  And said, ""Okay, let's talk""  And I said  Stay, stay, stay  I've been loving you for quite some time, time, time  You think that it's funny when I'm mad, mad, mad  But I think that it's best if we both stay  Before you, I'd only dated self-indulgent takers  Who took all of their problems out on me  But you carry my groceries and now I'm always laughing  And I love you because you have given me  No choice but to  You think that it's funny when I'm mad, mad, mad  But I think that it's best if we both stay, stay, stay, stay  You took the time to memorize me  My fears, my hopes, and dreams  I just like hanging out with you all the time  All those times that you didn't leave  It's been occurring to me  I'd like to hang out with you for my whole life  Stay, and I'll be loving you for quite some time  No one else is gonna love me when I get mad, mad, mad  So I think that it's best if we both stay, stay  Stay, stay, stay, stay  You think that it's funny when I'm mad, mad, mad  But I think that it's best if we both stay, stay  Stay, stay, stay, stay  But I think that it's best if we both stay  (Ha-ha-ha, that's so fun)"
The Last Time (Taylor’s Version),Red (Taylor’s Version),"I find myself at your door  Just like all those times before  I'm not sure how I got there  All roads they lead me here  I imagine you are home  In your room, all alone  And you open your eyes into mine  And everything feels better  And right before your eyes  I'm breaking, no past  No reasons why  Just you and me  This is the last time I'm asking you this  Put my name at the top of your list  This is the last time I'm asking you why  You break my heart in the blink of an eye, eye, eye  You find yourself at my door  And just like all those times before  You wear your best apology  But I was there to watch you leave  And all the times I let you in  Just for you to go again  Disappear when you come back  Everything is better  And right before your eyes  I'm aching, no past  Nowhere to hide  Just you and me  This is the last time you tell me I've got it wrong  This is the last time I say, ""It's been you all along""  This is the last time I let you in my door  This is the last time, I won't hurt you anymore  Oh-ho, oh-ho, oh-ho, oh-ho  Oh-ho, oh-ho, oh-ho, oh-ho  This is the last time I'm asking you why  You break my heart in the blink of an eye  This is the last time I'm asking you this (This is the last time I'm asking you this)  Put my name at the top of your list (Put my name at the top of your list)  This is the last time I'm asking you why (This is the last time I'm asking you why)  You break my heart in the blink of an eye (You break my heart)  This is the last time I'm asking you, last time I'm asking you  Last time I'm asking you this  This is the last time I'm asking you, last time I'm asking you  Last time I'm asking you this"
The Lucky One (Taylor’s Version),Red (Taylor’s Version),"New to town with a made-up name  In the angel's city, chasing fortune and fame  And the camera flashes make it look like a dream  You had it figured out since you were in school  Everybody loves pretty, everybody loves cool  So overnight, you look like a sixties queen  Another name goes up in lights  Like diamonds in the sky  And they'll tell you now, you're the lucky one  Yeah, they'll tell you now, you're the lucky one  But can you tell me now, you're the lucky one?  Oh, oh, oh  And now, it's big black cars and Riviera views  And your lover in the foyer doesn't even know you  And your secrets end up splashed on the news front page  And they tell you that you're lucky, but you're so confused  'Cause you don't feel pretty, you just feel used  And all the young things line up to take your place  Another name goes up in lights  You wonder if you'll make it out alive  Yeah, they'll tell you now, you're the lucky one  Can you tell me now, you're the lucky one?  Oh, oh, oh  Oh, oh, oh  It was a few years later, I showed up here  And they still tell the legend of how you disappeared  How you took the money and your dignity, and got the hell out  They say you bought a bunch of land somewhere  Chose the rose garden over Madison Square  And it took some time, but I understand it now  'Cause now my name is up in lights  But I think you got it right  Let me tell you now, you're the lucky one  Let me tell you now, you're the lucky one  Let me tell you now, you're the lucky one, oh, oh, oh  Yeah, they'll tell you now, you're the lucky one  Yeah, they'll tell you now, you're the lucky one  Let me tell you now, you're the lucky one, oh, oh, oh  Oh, oh, whoa, oh, oh"
The Moment I Knew (Taylor’s Version),Red (Taylor’s Version),"You should've been there  Should've burst through the door  With that ""Baby, I'm right here"" smile  And it would've felt like  A million little shining stars that just align  And I would've been so happy  Christmas lights glisten  I've got my eye on the door  Just waiting for you to walk in  But the time is ticking  People ask me how I've been  As I comb back through my memory  How you said you'd be here  You said you'd be here  And it was like slow motion  Standing there in my party dress  In red lipstick  With no one to impress  And they're all laughing  As I'm looking around the room  But therе was one thing missing  And that was the moment I knеw  And the hours pass by  Now I just wanna be alone  But your close friends always seem to know  When there's something really wrong  So they follow me down the hall  And there in the bathroom  I try not to fall apart  And the sinking feeling starts  As I say hopelessly  ""He said he'd be here""  And they're all laughing  And asking me about you  But there was one thing missing  And that was the moment I knew  What do you say  When tears are streaming down your face  In front of everyone you know?  And what do you do  When the one who means the most to you  Is the one who didn't show?  You should've been here  And I would've been so happy  With no one to impress  And they're all standing around me, singing  ""Happy birthday to you""  But there was one thing missing  And that was the moment I knew  Oh-oh-oh-oh-oh-oh-oh, I knew  Oh-oh-oh-oh-oh-oh-oh  You called me later  And said, ""I'm sorry I didn't make it""  And I said, ""I'm sorry, too""  And that was the moment I knew"
Treacherous (Taylor’s Version),Red (Taylor’s Version),"Put your lips close to mine  As long as they don't touch  Out of focus, eye to eye  'Til the gravity's too much  And I'll do anything you say  If you say it with your hands  And I'd be smart to walk away  But you're quicksand  This slope is treacherous  This path is reckless  This slope is treacherous  And I-I-I like it  I can't decide if it's a choice  Getting swept away  I hear the sound of my own voice  Asking you to stay  All we are is skin and bone  Trained to get along  Forever going with the flow  But you're friction  This slope is treacherous  I-I-I like it  Two headlights shine through the sleepless night  And I will get you a, get you alone  Your name has echoed through my mind  And I just think you should, think you should know  That nothing safe is worth the drive  And I would follow you, follow you home  I'll follow you, follow you home  This hope is treacherous  This daydream is dangerous  This hope is treacherous  I-I-I, I-I-I, I-I-I -  That nothing safe is worth the drive  And I will follow you, follow you home  I'll follow you, follow you home  I'll follow you, follow you home  I'll follow you, follow you home  This slope is treacherous"
