Song,Album,Lyrics
ME!,Lover,"I promise that you'll never find another like me  I know that I'm a handful, baby, uh  I know I never think before I jump  And you're the kinda guy the ladies want  (And there's a lotta cool chicks out there)  I know that I went psycho on the phone  I never leave well enough alone  And trouble's gonna follow where I go  (And there's a lotta cool chicks out there)  But one of these things is not like the others  Like a rainbow with all of the colors  Baby doll, when it comes to a lover  I promise that you'll never find another like  Me-e-e, ooh-ooh-ooh-ooh  I'm the only one of me  Baby, that's the fun of me  Eeh-eeh-eeh, ooh-ooh-ooh-ooh  You're the only one of you  Baby, that's the fun of you  And I promise that nobody's gonna love you like me-e-e  I know I tend to make it about me  I know you never get just what you see  But I will never bore you, baby  (And there's a lotta lame guys out there)  And when we had that fight out in the rain  You ran after me and called my name  I never wanna see you walk away  (And there's a lotta lame guys out there)  'Cause one of these things is not like the others  Livin' in winter, I am your summer  Baby doll, when it comes to a lover  I'm the only one of me  Let me keep you company  Eeh-eeh-eeh, ooh-ooh-ooh-ooh  Girl, there ain't no ""I"" in ""team""  But you know there is a ""me""  Strike the band up, one, two, three  I promise that you'll never find another like me  Girl, there ain't no ""I"" in ""team""  But you know there is a ""me""  And you can't spell ""awesome"" without ""me""  I promise that you'll never find another like  Me-e-e (Yeah), ooh-ooh-ooh-ooh (And I want ya, baby)  I'm the only one of me (I'm the only one of me)  Baby, that's the fun of me (Baby, that's the fun of me)  Eeh-eeh-eeh, ooh-ooh-ooh-ooh (Oh)  You're the only one of you (Oh)  Baby, that's the fun of you  Girl, there ain't no ""I"" in ""team"" (Ooh-ooh-ooh-ooh)  But you know there is a ""me""  I'm the only one of me (Oh-oh)  Baby, that's the fun of me  (Eeh-eeh-eeh, ooh-ooh-ooh-ooh)  Strike the band up, one, two, three  You can't spell ""awesome"" without ""me""  You're the only one of you (Yeah, yeah)  Baby, that's the fun of you"
Miss Americana & The Heartbreak Prince,Lover,"You know I adore you, I'm crazier for you  Than I was at 16, lost in a film scene  Waving homecoming queens, marching band playing  I'm lost in the lights  American glory faded before me  Now I'm feeling hopeless, ripped up my prom dress  Running through rose thorns, I saw the scoreboard  And ran for my life (Ah)  No cameras catch my pageant smile  I counted days, I counted miles  To see you there, to see you there  It's been a long time coming, but  It's you and me, that's my whole world  They whisper in the hallway, ""She's a bad, bad girl"" (Okay)  The whole school is rolling fake dice  You play stupid games, you win stupid prizes  It's you and me, there's nothing like this  Miss Americana and The Heartbreak Prince (Okay)  We're so sad, we paint the town blue  Voted most likely to run away with you  My team is losing, battered and bruising  I see the high fives between the bad guys  Leave with my head hung, you are the only one  Who seems to care  American stories burning before me  I'm feeling helpless, the damsels are depressed  Boys will be boys then, where are the wise men?  Darling, I'm scared (Ah)  No cameras catch my muffled cries  I counted days, I counted miles  To see you there, to see you there  And now the storm is coming, but  And I don't want you to (Go), I don't really wanna (Fight)  'Cause nobody's gonna (Win), I think you should come home  And I don't want you to (Go), I don't really wanna (Fight)  And I don't want you to (Go), I don't really wanna (Fight)  'Cause nobody's gonna (Win), just thought you should know  And I'll never let you (Go) 'cause I know this is a (Fight)  That someday we're gonna (Win)  It's you and me, that's my whole world  They whisper in the hallway, ""She's a bad, bad girl""  Oh, I just thought you should know (You should know)  It's you and me, there's nothing like this (Like this)  Miss Americana and The Heartbreak Prince (Okay)  We're so sad, we paint the town blue (Paint it blue)  Voted most likely to run away with you  'Cause nobody's gonna (Win), I think you should come home  And I'll never let you (Go) 'cause I know this is a (Fight)  That someday we're gonna (Win), just thought you should know  They whisper in the hallway, ""She's a bad, bad girl""  ""She's a bad, bad girl"""
Paper Rings,Lover,"The moon is high  Like your friends were the night that we first met  Went home and tried to stalk you on the internet  Now I've read all of the books beside your bed  The wine is cold  Like the shoulder that I gave you in the street  Cat and mouse for a month or two or three  Now I wake up in the night and watch you breathe  (Ayy)  Kiss me once 'cause you know I had a long night (Oh)  Kiss me twice 'cause it's gonna be alright (Uh)  Three times 'cause I waited my whole life (1, 2, 1, 2, 3, 4)  I like shiny things, but I'd marry you with paper rings  Uh huh, that's right  Darling, you're the one I want, and  I hate accidents except when we went from friends to this  Uh huh, that's right  Darling, you're the one I want  In paper rings, in picture frames, in dirty dreams  Oh, you're the one I want  In the winter, in the icy outdoor pool  When you jumped in first, I went in too  I'm with you even if it makes me blue  Which takes me back  To the color that we painted your brother's wall  Honey, without all the exes, fights, and flaws  We wouldn't be standing here so tall, so  (Ayy)  Kiss you once 'cause I know you had a long night (Oh)  Kiss you twice 'cause it's gonna be alright (Uh)  Three times 'cause you waited your whole life (1, 2, 1, 2, 3, 4)  Ah  I want to drive away with you  I want your complications too  I want your dreary Mondays  Wrap your arms around me, baby boy  I want to drive away with you  Wrap your arms around me, baby boy  Uh huh  I like shiny things, but I'd marry you with paper rings  Ah-ah, that's right, you're the one I want  I hate accidents except when we went from friends to this  Ah-ah, darling, you're the one I want  I like shiny things, but I'd marry you with paper rings  Darling, you're the one I want  In paper rings, in picture frames, in all my dreams  You're the one I want  In paper rings, in picture frames, in all my dreams  Oh, you're the one I want  You're the one I want, one I want  You're the one I want, one I want"
Soon You’ll Get Better,Lover,"The buttons of my coat were tangled in my hair  In doctor's office lighting, I didn't tell you I was scared  That was the first time we were there  Holy orange bottles, each night, I pray to you  Desperate people find faith, so now I pray to Jesus too  And I say to you...  Ooh-ah  Soon, you'll get better  Ooh-ah  Ooh-ah  You'll get better soon  'Cause you have to  I know delusion when I see it in the mirror  You like the nicer nurses, you make the best of a bad deal  I just pretend it isn't real  I'll paint the kitchen neon, I'll brighten up the sky  I know I'll never get it, there's not a day that I won't try  And I say to you...  And I hate to make this all about me  But who am I supposed to talk to?  What am I supposed to do  If there's no you?  This won't go back to normal, if it ever was  It's been years of hoping, and I keep saying it because  'Cause I have to  Ooh-ah  You'll get better  Ooh-ah  You'll get better soon  Ooh-ah"
The Archer,Lover,"Combat, I'm ready for combat  I say I don't want that, but what if I do?  'Cause cruelty wins in the movies  I've got a hundred thrown-out speeches I almost said to you  Easy they come, easy they go  I jump from the train, I ride off alone  I never grew up, it's getting so old  Help me hold on to you  I've been the archer, I've been the prey  Who could ever leave me, darling  But who could stay?  Dark side, I search for your dark side  But what if I'm alright, right, right, right here?  And I cut off my nose just to spite my face  Then I hate my reflection for years and years  I wake in the night, I pace like a ghost  The room is on fire, invisible smoke  And all of my heroes die all alone  Help me hold on to you  I've been the archer, I've been the prey  Screaming, who could ever leave me, darling  But who could stay?  (I see right through me, I see right through me)  'Cause they see right through me  They see right through me  They see right through  Can you see right through me?  They see right through  They see right through me  I see right through me  I see right through me  All the king's horses, all the king's men  Couldn't put me together again  'Cause all of my enemies started out friends  Help me hold on to you  But who could stay?  (I see right through me, I see right through me)  Who could stay?  Who could stay?  Who could stay?  You could stay  You could stay  Combat, I'm ready for combat"
The Man,Lover,"I would be complex, I would be cool  They'd say I played the field before I found someone to commit to  And that would be okay for me to do  Every conquest I had made would make me more of a boss to you  I'd be a fearless leader  I'd be an alpha type  When everyone believes ya  What's that like?  I'm so sick of running as fast as I can  Wondering if I'd get there quicker if I was a man  And I'm so sick of them coming at me again  'Cause if I was a man, then I'd be the man  I'd be the man  I'd be the man  They'd say I hustled, put in the work  They wouldn't shake their heads and question how much of this I deserve  What I was wearing, if I was rude  Could all be separated from my good ideas and power moves  And they would toast to me, oh, let the players play  I'd be just like Leo in Saint-Tropez  What's it like to brag about raking in dollars  And getting bitches and models?  And it's all good if you're bad  And it's okay if you're mad  If I was out flashing my dollars  I'd be a bitch, not a baller  They'd paint me out to be bad  So, it's okay that I'm mad  I'm so sick of running as fast as I can  Wondering if I'd get there quicker if I was a man (You know that)  And I'm so sick of them coming at me again (Coming at me again)  'Cause if I was a man (If I was a man)  Then I'd be the man (Then I'd be the man)  I'm so sick of running as fast as I can (As fast as I can)  Wondering if I'd get there quicker if I was a man (Hey)  And I'm so sick of them coming at me again (Coming at me again)  'Cause if I was a man (If I was a man), then I'd be the man  I'd be the man  I'd be the man (Oh)  I'd be the man (Yeah)  I'd be the man (I'd be the man)  If I was a man, then I'd be the man"
You Need To Calm Down,Lover,"You are somebody that I don't know  But you're takin' shots at me like it's Patrón  And I'm just like, damn, it's 7 AM  Say it in the street, that's a knock-out  But you say it in a Tweet, that's a cop-out  And I'm just like, ""Hey, are you okay?""  And I ain't tryna mess with your self-expression  But I've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun  And snakes and stones never broke my bones  So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh  You need to calm down, you're being too loud  And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)  You need to just stop, like can you just not step on my gown?  You need to calm down  You are somebody that we don't know  But you're comin' at my friends like a missile  Why are you mad when you could be GLAAD? (You could be GLAAD)  Sunshine on the street at the parade  But you would rather be in the dark ages  Makin' that sign must've taken all night  You just need to take several seats and then try to restore the peace  And control your urges to scream about all the people you hate  'Cause shade never made anybody less gay  And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)  You need to just stop, like can you just not step on his gown?  You need to calm down  And we see you over there on the internet  Comparing all the girls who are killing it  But we figured you out  We all know now we all got crowns  You need to calm down  Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh  You need to calm down (You need to calm down)  You're being too loud (You're being too loud)  And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)  You need to just stop (Can you stop?)  Like can you just not step on our gowns?  You need to calm down"
All You Had to Do Was Stay,1989 (Deluxe),"(Hey, hey, hey)  (Hey, hey, hey)  (Hey, hey, hey)  People like you always want back  The love they gave away  And people like me wanna believe you  When you say you've changed  The more I think about it now  The less I know  All I know is that you drove us  Off the road  (Stay) Hey, all you had to do was stay  Had me in the palm of your hand, then  Why'd you have to go and lock me out when I let you in?  (Stay) Hey, now you say you want it back  Now that it's just too late  Well, could've been easy  All you had to do was (Stay)  All you had to do was (Stay)  All you had to do was (Stay)  All you had to do was (Stay)  All you had to do was stay  Here you are now, calling me up  But I don't know what to say  I've been picking up the pieces  Of the mess you made  People like you always want back  The love they pushed aside  But people like me are gone forever  When you say goodbye  All you had to do was (Stay)  All you had to do was (Stay, stay, stay, stay, stay)  Let me remind you  This was what you wanted (Oh, oh, oh-oh-oh)  You ended it  You were all I wanted (Oh, oh, oh-oh-oh)  But not like this  Not like this  Not like this  Oh, all you had to do was...  Had me in the palm of your hand, then  Why'd you want to go and lock me out when I let you in?  (Stay) Hey, now you say you want it back  Well, could've been easy  All you had to do was...  (Stay) Hey, all you had to do was stay  Now that it's just too late  Well, could've been easy (All you had to do was stay)  All you had to do was (Stay)  All you had to do was (Stay) (Oh)  All you had to do was (Stay)  All you had to do was (Stay) (Ooh)  All you had to do was (Stay)"
Bad Blood,1989 (Deluxe),"'Cause baby, now we've got bad blood  You know it used to be mad love  So take a look what you've done  'Cause baby, now we've got bad blood, hey!  Now we've got problems  And I don't think we can solve 'em  You made a really deep cut  And baby, now we've got bad blood, hey!  Did you have to do this?  I was thinking that you could be trusted  Did you have to ruin what was shiny?  Now it's all rusted  Did you have to hit me where I'm weak?  Baby, I couldn't breathe  And rub it in so deep  Salt in the wound like you're laughing right at me  Oh, it's so sad to  Think about the good times  You and I  Did you think we'd be fine?  Still got scars on my back from your knives  So don't think it's in the past  These kinds of wounds, they last and they last  Now, did you think it all through?  All these things will catch up to you  And time can heal, but this won't  So if you're coming my way  Just don't  Band-aids don't fix bullet holes  You say sorry just for show  If you live like that, you live with ghosts  Band-aids don't fix bullet holes  If you live like that, you live with ghosts  If you love like that, blood runs cold  Now we've got problems  And I don't think we can solve 'em (Think we can solve 'em)  You made a really deep cut  And baby, now we've got bad blood, hey!  'Cause baby, now we've got bad blood  You know it used to be mad love  So take a look what you've done (Look what you've done)  'Cause baby, now we've got bad blood, hey!"
Clean,1989 (Deluxe),"The drought was the very worst (Oh-oh, oh-oh)  When the flowers that we'd grown together died of thirst  It was months and months of back and forth (Oh-oh, oh-oh)  You're still all over me  Like a wine-stained dress I can't wear anymore  Hung my head as I lost the war  And the sky turned black like a perfect storm  Rain came pouring down  When I was drowning, that's when I could finally breathe  And by morning  Gone was any trace of you, I think I am finally clean  (Oh, oh, oh, oh)  There was nothing left to do (Oh-oh, oh-oh)  When the butterflies turned to  Dust that covered my whole room  So I punched a hole in the roof (Oh-oh, oh-oh)  Let the flood carry away all my pictures of you  The water filled my lungs, I screamed so loud  But no one heard a thing  I think I am finally clean  (Oh, oh)  Oh, oh, oh, oh, oh-oh  Said, I think I am finally clean  (Oh, oh)  Oh, oh, oh, oh, oh-oh  Ten months sober, I must admit  Just because you're clean don't mean you don't miss it  Ten months older, I won't give in  Now that I'm clean, I'm never gonna risk it  When the flowers that we'd grown together died of thirst  (Oh)  The rain came pouring down  When I was drowning, that's when I could finally breathe  Gone was any trace of you, I think I am finally clean  Rain came pouring down  Gone was any trace of you, I think I am finally clean  (Oh, oh)  Finally clean  Think I'm finally clean  (Oh, oh)  Oh-oh, oh-oh  (Oh, oh, oh)  Think I'm finally clean"
How You Get The Girl,1989 (Deluxe),"Oh, oh, oh  Oh, oh, oh  Oh-oh, oh-oh  Stand there like a ghost  Shaking from the rain, rain  She'll open up the door and say, ""Are you insane?""  Say it's been a long six months  And you were too afraid to tell her what you want, want  And that's how it works  That's how you get the girl  And then, you say  I want you for worse or for better  I would wait forever and ever  Broke your heart, I'll put it back together  I would wait forever and ever  And that's how it works  That's how you get the girl, girl (Oh-oh, oh)  And that's how it works  That's how you get the girl, girl  Remind her how it used to be, be, yeah-yeah  With pictures in frames of kisses on cheeks, cheeks  Tell her how you must have lost your mind, ooh-ooh  When you left her all alone  And never told her why, why  And that's how it works  That's how you lost the girl  And now, you say  I want you for worse or for better  I would wait forever and ever (Ever and ever)  Broke your heart, I'll put it back together  And that's how it works  That's how you get the girl, girl (Oh-oh, oh-oh)  And that's how it works  That's how you get the girl, girl  Yeah, yeah  And you know  Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh  That I don't want you to go, oh, oh  Remind me how it used to be  Pictures in frames of kisses on cheeks  And say you want me, yeah-yeah  And then you say  I want you for worse or for better (Worse or for better)  I would wait forever and ever (Ever and ever)  Broke your heart, I'll put it back together  I want you forever and ever (I would wait forever and ever)  And that's how it works  That's how you get the girl, girl (This is how it works)  And that's how it works  That's how you get the girl, girl (Get the girl)  (That's how it works)  And that's how it works  That's how you get the girl, girl  (Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)  And that's how it works  (Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)  And that's how it works  That's how you got the girl"
I Know Places,1989 (Deluxe),"I, I, I, I, I, I, I, I-I  I, I, I, I, I, I, I, I-I  I, I, I, I, I, I, I, I-I (I, I, I, I)  You stand with your hand on my waistline  It's a scene and we're out here in plain sight  I can hear them whisper as we pass by  It's a bad sign, bad sign  Something happens when everybody finds out  See the vultures circling, dark clouds  Love's a fragile little flame, it could burn out  It could burn out  'Cause they got the cages, they got the boxes and guns  They are the hunters, we are the foxes and we run  Baby, I know places we won't be found  And they'll be chasing their tails trying to track us down  'Cause I, I know places we can hide  I know places, I know places  Lights flash and we'll run for the fences  Let them say what they want, we won't hear it  Loose lips sink ships all the damn time  Not this time  Just grab my hand and don't ever drop it, my love  They are the hunters, we are the foxes, and we run  'Cause I, I know places we can hide  I know places  They are the hunters, we are the foxes, and we run  Just grab my hand and don't ever drop it, my love  They take their shots, but we're bulletproof (I know places)  And you know for me, it's always you (I know places)  In the dead of night, your eyes so green (I know places)  And I know for you, it's always me (I know places)  I, I, I, I, I, I, I, I-I  I, I, I, I, I, I, I, I-I"
I Wish You Would,1989 (Deluxe),"It's 2 AM in your car  Windows down, you pass my street, the memories start  You say it's in the past, you drive straight ahead  You're thinking that I hate you now  'Cause you still don't know what I never said  I wish you would come back  Wish I never hung up the phone like I did, I  Wish you knew that  I'd never forget you as long as I live, and I  Wish you were right here, right now, it's all good  I wish you would  It's 2 AM in my room  Headlights pass the window pane  I think of you  We're a crooked love in a straight line down  Makes you want to run and hide  But it makes you turn right back around  I wish you would  I wish we could go back  And remember what we were fighting for, and I  Wish you knew that  I miss you too much to be mad anymore, and I  Wish you were right here, right now, it's all good  I, I, I, I, I, I wish I, wish I  I, I, I, I, I, I wish I, wish I  I, I, I, I, I, I wish I, wish I  You always knew how to push my buttons  You give me everything and nothing  This mad, mad love makes you come running  To stand back where you stood  I wish you would, I wish you would  (I wish you would, I wish you would)  I wish you would, I wish you would  (I wish you would, I wish you would)  (I wish, I wish, I)  2 AM, here we are  See your face, hear my voice in the dark  We're a crooked love in a straight line down  Makes you wanna run and hide  But it made us turn right back around  I wish you would  I wish you would come back  (I, I, I, I, I, I wish I, wish I)  You always knew how to push my buttons  I wish you would, I wish you would  (I wish you would, I wish you would, I wish you would)  (I, I, I, I, I, I wish I, wish I)  I, I, I, I, I, I wish I, wish I  I, I, I, I, I, I wish I, wish I  I wish you would"
New Romantics,1989 (Deluxe),"We're all bored, we're all so tired of everything  We wait for trains that just aren't coming  We show off our different scarlet letters  Trust me, mine is better  We're so young, but we're on the road to ruin  We play dumb, but we know exactly what we're doing  We cry tears of mascara in the bathroom  Honey, life is just a classroom  (Ah, ah, ah, ah, ah, ah)  'Cause baby, I could build a castle  Out of all the bricks they threw at me  And every day is like a battle  But every night with us is like a dream  Baby, we're the new romantics  Come on, come along with me  Heartbreak is the national anthem  We sing it proudly  We are too busy dancing  To get knocked off our feet  Baby, we're the new romantics  The best people in life are free  We're all here, the lights and noise are blinding  We hang back, it's all in the timing  It's poker, he can't see it in my face  But I'm about to play my Ace (Ahh)  We need love, but all we want is danger  We team up, then switch sides like a record changer  The rumors are terrible and cruel  But, honey, most of them are true  (Ah, ah, ah, ah, ah, ah)  Out of all the bricks they threw at me  And every day is like a battle (Every day is like a battle)  But every night with us is like a dream  We sing it proudly  We are too busy dancing (Yeah)  To get knocked off our feet (Hey!)  Baby, we're the new romantics  (Oh, oh, oh-oh, oh)  Oh-oh  (Oh, oh, oh-oh, oh)  So, come on, come along with me  (Oh, oh, oh-oh, oh)  The best people in life are free  (Oh, oh, oh-oh, oh)  Please, take my hand and  Please, take me dancing and  Please, leave me stranded  It's so romantic (It's so romantic)  (Ah, ah, ah, ah, ah, ah)  'Cause baby, I could build a castle (Oh, baby, I could build a castle)  Out of all the bricks they threw at me (At me)  And every day is like a battle (Oh-oh-oh-oh-oh)  But every night with us is like a dream (Like a dream)  'Cause baby, I could build a castle (Castle)  Out of all the bricks they threw at me  And every day is like a battle (And every day is like a battle)  But every night with us is like a dream  Baby, we're the new romantics (Ah, ah, ah, ah, ah)  Come on, come along with me  Heartbreak is the national anthem (Ah, ah, ah, ah, ah)  We sing it proudly  We are too busy dancing (Ah, ah, ah, ah, ah)  To get knocked off our feet  Baby, we're the new romantics (Ah, ah, ah, ah, ah)  The best people in life are free"
Out Of The Woods,1989 (Deluxe),"Looking at it now  It all seems so simple  We were lying on your couch  I remember  You took a Polaroid of us  Then discovered (Then discovered)  The rest of the world was black and white  But we were in screaming color  And I remember thinking  Are we out of the woods yet? Are we out of the woods yet?  Are we out of the woods yet? Are we out of the woods?  Are we in the clear yet? Are we in the clear yet?  Are we in the clear yet, in the clear yet? Good  Are we out of the woods yet? Are we out of the woods yet?  Are we in the clear yet, in the clear yet? Good  (Are we out of the woods?)  Looking at it now  Last December (Last December)  We were built to fall apart  Then fall back together (Back together)  Ooh, your necklace hanging from my neck  The night we couldn't quite forget  When we decided, we decided  To move the furniture so we could dance  Baby, like we stood a chance  Two paper airplanes flying, flying, flying  And I remember thinking  Are we out of the woods yet? Are we out of the woods yet?  Are we out of the woods yet? (Oh) Are we out of the woods?  Are we in the clear yet? Are we in the clear yet?  Remember when you hit the brakes too soon?  Twenty stitches in the hospital room  When you started crying, baby, I did too  But when the sun came up, I was looking at you  Remember when we couldn't take the heat?  I walked out, I said, ""I'm setting you free""  But the monsters turned out to be just trees  When the sun came up, you were looking at me  You were looking at me, ooh  You were looking at me  (Are we out of the woods yet? Are we out of the woods yet?)  (Are we out of the woods yet? Are we out of the woods?)  I remember  (Are we in the clear yet? Are we in the clear yet?)  (Are we in the clear yet, in the clear yet? Good)  Oh, I remember  Are we out of the woods yet? Are we out of the woods yet? (Yeah, yeah)  Are we out of the woods yet? Are we out of the woods?  Are we in the clear yet? Are we in the clear yet? (Say, are we?)  Are we in the clear yet, in the clear yet? Good  Are we out of the woods yet? Are we out of the woods?  Are we in the clear yet? (Yeah) Are we in the clear yet? (Yeah)  Are we in the clear yet, in the clear yet? Good (Clear yet? Good)  Are we out of the woods yet? Are we out of the woods yet?  Are we in the clear yet? Are we in the clear yet?  Are we in the clear yet, in the clear yet? Good (Do you remember?)  Are we out of the woods yet? Are we out of the woods yet?  Are we in the clear yet, in the clear yet? Good"
Style,1989 (Deluxe),"Midnight  You come and pick me up, no headlights  A long drive  Could end in burning flames or paradise  Fade into view, oh  It's been a while since I have even heard from you  (Heard from you)  And I should just tell you to leave  'Cause I know exactly where it leads  But I watch us go 'round and 'round each time  You got that James Dean daydream look in your eye  And I got that red lip classic thing that you like  And when we go crashing down, we come back every time  'Cause we never go out of style, we never go out of style  You got that long hair, slicked back, white t-shirt  And I got that good girl faith and a tight little skirt  And when we go crashing down, we come back every time  'Cause we never go out of style, we never go out of style  So it goes  He can't keep his wild eyes on the road (Mmm)  Takes me home  The lights are off, he's taking off his coat (Mmm, yeah)  I say, ""I heard, oh  That you've been out and about with some other girl""  Some other girl  He says, ""What you heard is true  But I can't stop thinking 'bout you and I""  I said, ""I've been there too a few times""  'Cause you got that James Dean daydream look in your eye  And I got that red lip classic thing that you like  You got that long hair, slicked back, white t-shirt  And I got that good girl faith and a tight little skirt (A tight little skirt)  And when we go crashing down, we come back every time  'Cause we never go out of style (We never go, we never go)  We never go out of style  Take me home  Just take me home  Yeah, just take me home  Oh-oh, whoa-oh, oh (Out of style)  Oh, you got that James Dean daydream look in your eye  And I got that red lip classic thing that you like  And when we go crashing down (And when we go)  We come back every time  'Cause we never go out of style, we never go out of style1K"
Welcome to New York,1989 (Deluxe),"Walking through a crowd, the village is aglow  Kaleidoscope of loud heartbeats under coats  Everybody here wanted something more  Searching for a sound we hadn't heard before  And it said  Welcome to New York, it's been waiting for you  Welcome to New York, welcome to New York  Welcome to New York, it's been waiting for you  Welcome to New York, welcome to New York  It's a new soundtrack, I could dance to this beat, beat, forevermore  The lights are so bright but they never blind me, me  Welcome to New York, it's been waiting for you  Welcome to New York, welcome to New York  When we first dropped our bags on apartment floors  Took our broken hearts, put them in a drawer  Everybody here was someone else before  And you can want who you want  Boys and boys and girls and girls  It's a new soundtrack, I could dance to this beat, beat, forevermore  The lights are so bright, but they never blind me, me  Welcome to New York (New York), it's been waiting for you  Welcome to New York, welcome to New York  Like any great love, it keeps you guessing  Like any real love, it's ever-changing  Like any true love, it drives you crazy  But you know you wouldn't change anything, anything, anything  Welcome to New York, welcome to New York  It's a new soundtrack, I could dance to this beat  The lights are so bright, but they never blind me  Welcome to New York (New soundtrack)  It's been waiting for you  Welcome to New York  The lights are so bright but they never blind me  Welcome to New York  So bright, they never blind me  Welcome to New York  Welcome to New York"
Wonderland,1989 (Deluxe),"Flashing lights  And we took a wrong turn  And we fell down a rabbit hole  You held on tight to me  'Cause nothing's as it seems  And spinning out of control  Didn't they tell us ""Don't rush into things""?  Didn't you flash your green eyes at me?  Haven't you heard what becomes of curious minds?  Ooh, didn't it all seem new and exciting?  I felt your arms twistin' around me  I should have slept with one eye open at night  We found Wonderland, you and I got lost in it  And we pretended it could last forever (Eh, eh)  We found Wonderland, you and I got lost in it  And life was never worse, but never better (Eh, eh)  (Eh, eh, eh, eh, eh, eh)  In Wonderland  (Eh, eh, eh, eh, eh, eh)  In Wonderland  So, we went on our way  Too in love to think straight  All alone, or so it seemed  But there were strangers watchin'  And whispers turned to talkin'  And talking turned to screams, oh  Didn't you flash your green eyes at me?  Didn't you calm my fears with a Cheshire cat smile?  Ooh, didn't it all seem new and exciting?  I felt your arms twistin' around me  It's all fun and games 'til somebody loses their mind  But darling  We found Wonderland, you and I got lost in it  And life was never worse but never better (Eh, eh)  In Wonderland  (Eh, eh, eh, eh, eh, eh) Eh, eh  In Wonderland  In Wonderland  (Eh, eh, eh, eh, eh, eh) Woah  In Wonderland  I reached for you, but you were gone  I knew I had to go back home  You searched the world for somethin' else  To make you feel like what we had  And in the end, in Wonderland, we both went mad  Oh  We found Wonderland, you and I got lost in it  And we pretended it could last forever (Last forever; Eh, eh)  We found Wonderland, you and I got lost in it (Got lost in it)  And life was never worse but never better (Never better; Eh, eh)  (Eh, eh, eh, eh, eh)  We found Wonderland, you and I got lost in it  (Eh, eh, eh, eh, eh)  And we pretended it could last forever (In Wonderland)  (Eh, eh, eh, eh, eh)  We found Wonderland, you and I got lost in it (Lost in it)  (Eh, eh, eh, eh, eh)  And life was never worse but never better  In Wonderland"
You Are in Love,1989 (Deluxe),"One look, dark room  Meant just for you  Time moved too fast, you play it back  Buttons on a coat, lighthearted joke  No proof, not much, but you saw enough  Small talk, he drives  Coffee at midnight  The light reflects the chain on your neck  He says, ""Look up""  And your shoulders brush  No proof, one touch, but you felt enough  You can hear it in the silence (Silence), silence (Silence), you  You can feel it on the way home (Way home), way home (Way home), you  You can see it with the lights out (Lights out), lights out (Lights out)  You are in love, true love  You are in love  Morning, his place  Burnt toast, Sunday  You keep his shirt, he keeps his word  And for once, you let go  Of your fears and your ghosts  One step, not much, but it said enough  You kiss on sidewalks  You fight and you talk  One night, he wakes  Strange look on his face  Pauses, then says ""You're my best friend""  And you knew what it was, he is in love  You are in love, true love  And so it goes  You two are dancing in a snow globe, 'round and 'round  And he keeps a picture of you in his office downtown  And you understand now  Why they lost their minds and fought the wars  And why I've spent my whole life trying to put it into words  'Cause you can hear it in the silence  You can feel it on the way home  You can see it with the lights out  You are in love, true love  You are in love, true love  You are in love (Ah)  You can hear it in the silence (Silence), silence (Silence), you (Ah)  You can feel it on the way home (Way home), way home (Way home), you (Ah)  You can see it with the lights out (Lights out), lights out (Lights out)"
