city,country,attendance,revenue,tour,tour_id
Minneapolis,United States,"98,774 / 98,774","$10,242,024",reputation,ts06
Minneapolis,United States,"98,774 / 98,774","$10,242,024",reputation,ts06
Kansas City,United States,"58,611 / 58,611","$6,730,138",reputation,ts06
Indianapolis,United States,"55,729 / 55,729","$6,531,245",reputation,ts06
St. Louis,United States,"47,831 / 47,831","$4,884,054",reputation,ts06
New Orleans,United States,"53,172 / 53,172","$6,491,546",reputation,ts06
Houston,United States,"53,800 / 53,800","$9,350,275",reputation,ts06
Arlington,United States,"105,002 / 105,002","$15,006,157",reputation,ts06
Arlington,United States,"105,002 / 105,002","$15,006,157",reputation,ts06
Perth,Australia,"50,891 / 50,891","$4,153,658",reputation,ts06
Melbourne,Australia,"63,027 / 63,027","$6,755,570",reputation,ts06
Sydney,Australia,"72,805 / 72,805","$7,686,564",reputation,ts06
Brisbane,Australia,"43,907 / 43,907","$4,338,127",reputation,ts06
Auckland,New Zealand,"35,749 / 35,749","$3,617,593",reputation,ts06
Tokyo,Japan,"100,109 / 100,109","$14,859,847",reputation,ts06
Tokyo,Japan,"100,109 / 100,109","$14,859,847",reputation,ts06
