content
Thanks for all the beautiful wishes today!! I spent my 33rd birthday in the studio of course 😏 Wouldn’t have it any other way. Love you! https://t.co/axPfJT0d9A
@BBCR1 @DermotKennedy @BBCSounds WOW - Absolutely love this 🥰👏
Anti hero but make it acoustic 🥲  Now at https://t.co/WdrCmvMfo8 https://t.co/UgRTbfj0LN
Take your self loathing to the dancefloor! 2 more Anti Hero remixes available on my site until 10pm ET tonight 🙃  https://t.co/WdrCmvMfo8 https://t.co/tAYh48ILOB
The anti hero (Roosevelt remix) makes me feel hyped enough for an imaginary funeral brawl. It’s available on my site now!  https://t.co/WdrCmvu6a0 https://t.co/YsUfEl2vfe
Jack’s version of ‘sexy baby’ is ‘art bro’ and we sincerely hope it confuses just as many people. Download Anti Hero featuring @bleachersmusic now at https://t.co/WdrCmvMfo8 https://t.co/52TIyZP0hf
UM. Looks like I’ll get to see more of your beautiful faces than previously expected… we’re adding 8 shows to the tour 😆  https://t.co/KFuqvr0hhO https://t.co/4LTYSnwKJO
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰"
"I’m enchanted to announce my next tour: Taylor Swift | The Eras Tour, a journey through the musical eras of my career (past &amp; present!) The first leg of the tour will be in stadiums across the US, with international dates to be announced as soon as we can! https://t.co/KFuqvrhSGo https://t.co/eVyTcuW8sK"
10 out of 10 of the Hot 100??? On my 10th album??? I AM IN SHAMBLES. https://t.co/q1n5Zc6pYA
Can I ask you a question… did you ever wonder who was responsible for those immaculate crowd vocals?  Question…? and Bejeweled instrumental versions available now at https://t.co/WdrCmvLHyA  @jackantonoff @rachelantonoff @dylanobrien @austinswift7 https://t.co/AB0CWjjHtr
Love you guys so much. Stay sparkly out there. 😘  https://t.co/mHTC0J1j2E
"Bejeweled video is out NOW! Directed by this tired tacky wench. Got to make this with my best friends @HAIMtheband, greatest of greats @LauraDern, icon of burlesque and glamour @DitaVonTeese, genius and actual dame @patmcgrathreal and my partner in Midnights mayhem @jackantonoff. https://t.co/RO8jA3csYW"
A photo of the exact moment we found out about this review 🥲 https://t.co/xWiwVVPU98 https://t.co/4svE0hewvY
"How did I get this lucky, having you guys out here doing something this mind blowing?!  Like what even just happened??!?! https://t.co/7kDKDrBwiD"
@JanetJackson I feel like I’m dreaming. I have so much love and gratitude for you and all you’ve done to inspire female artists everywhere 🥹🙏💗
"with some help from the excellent @birbigs, @bejohnce, and @meellisday who fabulously portray… get ready for it… my grown sons and daughter in law? Anyway. Forever grateful to my incredible DP @The_RinaYang and our amazing crew. 🌌🤩"
"The Anti-Hero video is HERE, which I wrote and directed. Watch my nightmare scenarios and intrusive thoughts play out in real time  https://t.co/3ieastDifu https://t.co/h5mpzVLKDY"
"I’m calling them 3am tracks. Lately I’ve been loving the feeling of sharing more of our creative process with you, like we do with From The Vault tracks. So it’s 3am and I’m giving them to you now. 🌌  https://t.co/jjqUNkGSme"
"Surprise! I think of Midnights as a complete concept album, with those 13 songs forming a full picture of the intensities of that mystifying, mad hour. However! There were other songs we wrote on our journey to find that magic 13.  https://t.co/jjqUNkpPke https://t.co/LKI3GmpPRF"
